"values","ind"
"12345","39_2021"
"3","46_2022"
"- tiltag 1 - tiltag 2 -tiltag3","initiatives_curr_MARKJORDENS FRUGTBARHED"
"","7_2023"
"12345","31_2023"
"12345","35_2022"
"3","47_2021"
"3","49_2022"
"","14_2023"
"","20_2023"
"12345","11_2022"
"3","49_2023"
"12345","27_2023"
"3","51_2021"
"- tiltag 1 - tiltag 2 -tiltag3","initiatives_fut_BIODIVERSITET"
"- tiltag 1 - tiltag 2 -tiltag3","initiatives_fut_HUSDYRENES SUNDHED OG VELFÆRD"
"12345","11_2023"
"12345","27_2021"
"12345","9_2021"
"12345","10_2021"
"12345","35_2023"
"12345","38_2021"
"12345","33_2022"
"12345","26_2021"
"3","51_2023"
"Nyrapport","sidebarItemExpanded"
"12345","21_2022"
"12345","8_2021"
"12345","45_2023"
"12345","23_2023"
"12345","4_2023"
"12345","4_2022"
"12345","24_2023"
"12345","24_2022"
"12345","16_2022"
"12345","38_2023"
"3","42_2023"
"12345","44_2021"
"12345","45_2021"
"FALSE","dark_mode"
"- tiltag 1 - tiltag 2 -tiltag3","initiatives_fut_MARKJORDENS FRUGTBARHED"
"12345","28_2022"
"12345","30_2022"
"Nej","12_2022"
"3","18_2022"
"12345","6_2023"
"3","17_2023"
"12345","26_2023"
"1: Emissioner pr. produkt","select_indicators"
"2: Emissioner fra bedriften samlet ekskl. JB11 og kulstof i jord","select_indicators"
"3: Emissioner fra bedriften samlet inkl. JB11 og kulstof i jord","select_indicators"
"4: Emission fra lattergas i marken - planteavl","select_indicators"
"5: Emission fra enterisk metan - kvæg","select_indicators"
"6: Emissioner fra foderimport - grise og fjerkræ","select_indicators"
"7: NaturTjek","select_indicators"
"8: Ammoniakfordampning i marken","select_indicators"
"9: Ammoniakfordampning fra stald og lager","select_indicators"
"10: Fosforoverskud","select_indicators"
"11: Planteværn (Belastningstal)","select_indicators"
"12: Efterlevelse af gødsknings- og harmoniregler","select_indicators"
"13: Efterlevelse af N og P normer","select_indicators"
"14: Udarbejdelse af sprøjtejournal","select_indicators"
"15: Sædskifte","select_indicators"
"16: Næringsstofindhold","select_indicators"
"17: Tiltag mod erosion","select_indicators"
"18: Tiltag mod jordpakning","select_indicators"
"19: Dødelighed (kvæg, grise, fjerkræ)","select_indicators"
"20: Hjerteordning (kvæg, grise, fjerkræ)","select_indicators"
"21: Antibiotika anvendelse (fjerkræ, grise)","select_indicators"
"22: Nyinfektionsprocenten (kvæg)","select_indicators"
"23: Celletal (kvæg)","select_indicators"
"24: Trædepudescore (fjerkræ)","select_indicators"
"25: Kassationsprocent (fjerkræ)","select_indicators"
"26: Fjerpilning (fjerkræ) (øko)","select_indicators"
"27: Fremstillingspris pr. kg leveret EKM (kvæg)","select_indicators"
"28: Kg EKM leveret pr. årsko (kvæg)","select_indicators"
"29: Fremstillingspris smågrise (30 kg) (grise)","select_indicators"
"30: Foder anvendt pr. produceret 30 kgs gris (grise)","select_indicators"
"31: Producerede grise pr. årsso+gylt (grise)","select_indicators"
"32: Fremstillingspris for slagtesvin (grise)","select_indicators"
"33: Foder pr. kg tilvækst (grise)","select_indicators"
"34: Fremstillingspris for kyllinger (fjerkræ)","select_indicators"
"35: Foder anvendt pr. kg produceret kød (fjerkræ)","select_indicators"
"36: Fremstillingspris korn (mark)","select_indicators"
"37: Udbytte korn (mark)","select_indicators"
"38: Fremstillingspris grovfoder (mark)","select_indicators"
"39: Udbytte grovfoder (mark)","select_indicators"
"40: Afkastningsgraden","select_indicators"
"41: Soliditetsgraden","select_indicators"
"42: Vi har en strategi for virksomheden, der sætter retning for dens udvikling","select_indicators"
"43: Vi anvender aktivt vores strategi i ledelsen af virksomheden","select_indicators"
"44: Vi anvender driftsbudget for planlægning og opfølgning","select_indicators"
"45: Vi har planer for at sikre den fortsatte drift ved kritiske nedbrud og truende kriser","select_indicators"
"46: Vi søger inspiration og sparring fra personer udenfor virksomheden","select_indicators"
"47: Vi er åbne og imødekommende om vores virksomhed","select_indicators"
"48: Ordnede ansættelsesforhold for vores medarbejdere","select_indicators"
"49: Vi bruger de lovpligtige indsatser for arbejdssikkerhed","select_indicators"
"50: Vi forebygger arbejdsulykker og følger op","select_indicators"
"51: Vi informerer om og involverer medarbejderne i virksomhedens drift og udvikling","select_indicators"
"52: Vi har fokus på sundhed og trivsel i den daglige ledelse og drift af virksomheden","select_indicators"
"Ja","12_2021"
"3","18_2023"
"12345","29_2021"
"Nej","7_2022"
"12345","22_2023"
"12345","32_2021"
"FALSE","customSwitch1"
"12345","19_2023"
"12345","34_2023"
"12345","9_2022"
"12345","39_2023"
"Nej","14_2022"
"12345","40_2023"
"Ja","14_2021"
"12345","33_2023"
"3","47_2023"
"Ja","13_2021"
"12345","22_2022"
"12345","31_2022"
"3","48_2023"
"3","48_2022"
"3","50_2023"
"3","52_2022"
"- tiltag 1 - tiltag 2 -tiltag3","initiatives_curr_BIODIVERSITET"
"- tiltag 1 - tiltag 2 -tiltag3","initiatives_fut_LEDELSE"
"12345","8_2022"
"12345","9_2023"
"- tiltag 1 - tiltag 2 -tiltag3","initiatives_fut_ARBEJDSFORHOLD"
"12345","44_2023"
"12345","30_2021"
"12345","25_2023"
"12345","2_2023"
"- tiltag 1 - tiltag 2 -tiltag3","initiatives_curr_VANDMILJØ OG LUFTKVALITET"
"3","17_2021"
"12345","21_2023"
"12345","5_2022"
"12345","29_2023"
"12345","26_2022"
"12345","34_2022"
"3","15_2021"
"12345","35_2021"
"12345","39_2022"
"12345","3_2021"
"12345","34_2021"
"3","48_2021"
"12345","25_2021"
"12345","40_2021"
"3","50_2021"
"3","52_2021"
"3","43_2021"
"","12_2023"
"12345","16_2021"
"12345","30_2023"
"12345","27_2022"
"12345","2_2021"
"- tiltag 1 - tiltag 2 -tiltag3","initiatives_curr_KLIMA"
"3","18_2021"
"12345","37_2023"
"12345","22_2021"
"12345","41_2023"
"Ja","7_2021"
"3","15_2023"
"3","15_2022"
"3","47_2022"
"12345","28_2021"
"12345","38_2022"
"12345","44_2022"
"12345","11_2021"
"12345","6_2021"
"12345","19_2021"
"- tiltag 1 - tiltag 2 -tiltag3","initiatives_fut_KLIMA"
"12345","29_2022"
"12345","19_2022"
"- tiltag 1 - tiltag 2 -tiltag3","initiatives_curr_ARBEJDSFORHOLD"
"Nej","13_2022"
"TRUE","select_indicators_box"
"FALSE","select_indicators_box"
"FALSE","select_indicators_box"
"TRUE","select_indicators_box"
"FALSE","select_indicators_box"
